Date,A_OC_GOOGLE_SHOPPING,Is_NYE,C_DIV_BUY_CONNECTEDl21_0p0_0d0_0,C_DIV_BUY_ESSENTIALSl21_0p0_0d0_12,C_DIV_BUY_PREMIUMl21_0p0_0d0_0,C_DIV_BUY_SSl21_0p0_0d0_06,C_DIV_CONN_DATAl21_0p0_0d0_06,C_DIV_CONN_REMOTEl21_0p0_0d0_12,C_DIV_CONN_TRYl21_0p0_0d0_12,C_DIV_GETNOW_CONNl21_0p0_0d0_12,C_DIV_GETNOW_ESSl21_0p0_0d0_06,C_DIV_GETNOW_PREMl21_0p0_0d0_06,C_DIV_GETNOW_SSl21_0p0_0d0_12,C_PP_PKG_APP_ACCESSl21_0p0_0d0_06,C_PP_PKG_CONNECTEDl21_0p0_0d0_0,C_PP_PKG_ESSl21_0p0_0d0_12,C_PP_PKG_PREMl21_0p0_0d0_0,C_PP_PKG_REMOTEl21_0p0_0d0_0,C_PP_PKG_SCl21_0p0_0d0_06,C_PP_PKG_SSl21_0p0_0d0_12,DIV_GMOC_SHOP_ESSl21_0p0_0d0_0,DIV_GMOC_SHOP_SSl21_0p0_0d0_0,DIV_PKG_SS_ROADSIDEl21_0p0_0d0_06,DIV_PLANPAGE_CONNl21_0p0_0d0_0,DIV_PLANPAGE_ESSl21_0p0_0d0_06,DIV_PLANPAGE_HOMEl21_0p0_0d0_12,DIV_WYG_PPl21_0p0_0d0_0,OC_APP_Accessl21_0p0_0d0_06,OC_PAGE_ESSl21_0p0_0d0_0,OC_PAGE_PREFl21_0p0_0d0_06,OC_PAGE_PREMl21_0p0_0d0_06,SC_BUYNOWl21_0p0_0d0_12,SC_SHOPNOWl21_0p0_0d0_06
1/1/2024,354,1,-1.828030445,-2.526447561,-2.104763241,-2.063396162,-0.729938359,-1.250853982,-1.956001547,-1.220951422,-1.056178948,0.458287478,-1.091945224,-1.606282005,-2.311472871,-1.687965701,-1.152036355,-0.22711458,-1.148681612,-1.819987387,-1.658409352,-0.624427939,0.80399484,-2.219101454,-1.762813111,-1.998409181,-1.529526437,-2.932117972,-0.948632102,-2.519695577,-1.567836836,-0.172139017,-0.314432066
1/2/2024,1151,0,-1.498294821,-1.701873494,-1.692544934,-1.611429717,0.1939482,-1.511079175,-1.263386309,-1.051799982,-0.756764382,0.884158797,-0.513378251,-1.352416547,0.090437374,-0.337427328,0.392725034,0.451906924,-0.411848457,1.024451652,1.064300367,-0.240426986,1.806109921,-0.652023457,0.663928602,-0.551122891,0.694164422,-0.204861683,3.622656453,-1.369898337,-0.598367347,-0.881181876,-1.108435237
1/3/2024,1259,0,-1.278471071,-0.686296394,-0.661999167,-1.71437763,-1.520722617,0.33104127,-0.91707869,-0.997785237,0.935432547,0.374175679,-0.893220046,1.013250066,-0.448766967,0.29431622,1.115274716,1.031072325,0.324984698,1.905415057,-0.794515322,-0.240426986,1.485304344,-0.090557009,0.328018234,-0.065951023,1.056013833,-0.331250282,0.567804967,-1.168232329,-0.46187069,-0.172139017,-0.314432066
1/4/2024,1210,0,-0.893779509,-1.040350796,-1.41773273,-0.717540526,-0.060512081,-0.983780758,0.512836639,-0.669432442,-0.813955929,0.873534149,-1.365297157,-0.867151601,-0.693859849,0.664905939,0.425945709,0.751475235,0.019129426,0.673366605,-1.174273366,-0.406882335,1.266069317,-0.392240474,0.263725712,-0.283491212,0.420673588,-0.842920255,-0.054886583,-1.077934117,-0.66353548,-0.881181876,-0.263751012
1/5/2024,1200,0,-0.564043885,-2.027976232,-1.692544934,-0.782824568,-0.358034871,1.056932597,-0.43671651,-0.204621343,-0.924974813,0.285636943,-1.415607328,-1.662446929,-0.595822696,-0.354837583,0.882729991,0.771446455,-0.001724343,1.573834735,-1.249780814,-0.405234262,1.36155994,-0.140837586,0.887628051,-0.435375768,0.342833889,-0.799819996,-0.186750676,-1.401365896,-0.56813743,3.856513591,0.580933212
1/6/2024,1185,0,-1.992898257,-1.673921831,-1.692544934,-1.543634751,0.009953843,0.810403467,-1.129331747,-0.57988168,-1.093185243,0.823952457,-1.226944185,-1.141236431,-0.742878426,0.202290585,-0.005923066,0.591705469,0.345838466,-0.16858735,-1.63620128,-0.199225167,0.903061891,-0.853145767,-0.351026381,-0.789773066,-0.115789202,-0.489672858,-0.776476203,-1.010620904,-0.495664833,2.019448002,1.47629849
1/7/2024,948,0,-1.663162633,-1.618018504,-1.761247986,-1.086646456,-1.33672826,-0.449634309,-0.637798353,-1.341773879,0.242405574,0.415788885,-1.372005179,0.689740102,-1.625212801,-0.77268371,-0.637115892,0.212252276,-1.371121809,0.582344556,-1.629538858,-0.339311352,0.821519337,-1.883897604,-0.728594451,-1.054184578,-0.690119954,-1.40322363,-0.791127769,-2.01211017,-0.969134863,-0.687806551,-0.162388905
1/8/2024,1163,0,-1.663162633,-1.152157449,-1.761247986,-0.679876656,0.342709595,-0.593442969,-0.570771072,-1.036164135,-1.022536862,1.141806519,-1.434054391,-0.775041125,-0.742878426,0.21970084,0.002382103,1.031072325,-0.085139417,-0.275863337,-1.23645597,-0.256907714,1.08653264,-0.777724901,-0.73461435,-0.763475033,0.334418786,-1.138797713,-0.128144412,-1.854772376,-0.634757655,0.633591505,-1.108435237
1/9/2024,1249,0,-1.388382946,1.465981679,-1.349029679,0.723730248,-0.530284908,1.974568804,-0.850051409,-0.740504475,-0.598646578,1.718193689,-0.998871407,0.478559986,-0.987971308,0.913623871,1.605279673,1.550324063,0.693401275,-0.474161373,-1.374146021,-0.322830624,1.549680045,0.278167226,0.879440989,-0.014249448,1.569335091,-0.668189473,-0.351580792,-1.499599406,-0.53377125,-0.784494213,-1.15911629
1/10/2024,1134,0,-0.399176073,0.259401547,-0.24978086,-0.197779115,-0.980483866,1.940328647,-0.88356505,-0.959406339,0.777314742,1.971414473,-1.281446871,-0.002211766,0.090437374,0.234623916,2.128505305,1.310669414,0.387546003,0.735131567,-1.294196959,-0.311294115,1.415564001,0.152465782,1.229076727,0.267872984,1.916458073,-0.786715187,-0.201402242,-1.71166339,-0.436613088,1.439322026,-0.314432066
