Date,A_OC_GOOGLE_SHOPPING,C_DIV_BUY_CONNECTEDl21_0p0_0d0_12,C_DIV_BUY_ESSENTIALSl21_0p0_0d0_12,C_DIV_BUY_PREMIUMl21_0p0_0d0_12,C_DIV_BUY_SSl21_0p0_0d0_06,C_DIV_CONN_DATAl21_0p0_0d0_06,C_DIV_CONN_REMOTEl21_0p0_0d0_12,C_DIV_CONN_TRYl21_0p0_0d0_06,C_DIV_GETNOW_CONNl21_0p0_0d0_06,C_DIV_GETNOW_ESSl21_0p0_0d0_12,C_DIV_GETNOW_PREMl21_0p0_0d0_12,C_DIV_GETNOW_SSl21_0p0_0d0_12,C_PP_PKG_APP_ACCESSl21_0p0_0d0_12,C_PP_PKG_CONNECTEDl21_0p0_0d0_12,C_PP_PKG_ESSl21_0p0_0d0_12,C_PP_PKG_PREMl21_0p0_0d0_12,C_PP_PKG_REMOTEl21_0p0_0d0_0,C_PP_PKG_SCl21_0p0_0d0_12,C_PP_PKG_SSl21_0p0_0d0_12,DIV_GMOC_SHOP_ESSl21_0p0_0d0_0,DIV_GMOC_SHOP_SSl21_0p0_0d0_0,DIV_PKG_CONN_SERVICESl21_0p0_0d0_06,DIV_PLANPAGE_ESSl21_0p0_0d0_0,DIV_WYG_PPl21_0p0_0d0_12,OC_APP_Accessl21_0p0_0d0_12,OC_PAGE_PREFl21_0p0_0d0_06,OC_PAGE_PREFPLl21_0p0_0d0_12,OC_PAGE_PREMl21_0p0_0d0_12,SC_BUYNOWl21_0p0_0d0_12,SC_HOMEPAGEl21_0p0_0d0_12,SC_SHOPNOWl21_0p0_0d0_06,Is_Holiday
10/13/2023,729,-1.108161394,0.178209372,-0.774452245,0.62777242,-0.264759093,-0.146654199,-0.311050037,1.422696349,-0.389739849,-0.14143076,1.090480476,0.084408632,-0.86332984,-0.662238135,-0.756953138,-0.356926379,2.329391571,0.560389065,-0.729524763,-0.049706258,0.152845842,-0.690468855,-0.398093923,-0.624894041,-0.189886172,-1.329792911,-0.263140495,-0.970183142,0.060407747,-0.310527922,0
10/14/2023,936,-0.591640932,-1.339583493,-0.210658004,-0.060091762,1.589452918,-0.647853189,0.225988062,0.828675396,-0.393164325,0.36425384,1.604005394,1.016147721,0.471752396,-0.443071132,-0.70160369,-0.864093208,4.136390818,0.260752112,-0.746753859,-1.240441119,-0.092741106,-0.717840737,-0.347162045,-0.191100099,-0.421855495,-0.885066105,-0.368435873,-0.970183142,-0.082951506,0.649706996,0
10/15/2023,787,-1.532170729,-1.826123366,-1.843573178,-1.182771645,-1.07045836,-1.485678366,0.973487038,-1.00141469,-0.489049646,-0.079329143,2.369624362,0.142313322,-1.529637056,-0.651924394,-0.706617227,-0.912394811,3.326356673,-0.486490661,-0.77635658,-0.954664752,-0.81782058,-0.7725845,-0.827603343,-0.320065866,-1.336845604,-1.405619133,-1.46006177,-0.970183142,-0.144391186,-1.107704081,0
10/16/2023,1030,-0.780517817,-1.196794617,-0.373531896,0.178700467,-0.684164191,-0.640372607,-1.523014396,-0.60203039,-0.727621456,-0.797933576,2.577368533,0.031768006,-0.177280189,-0.417286778,-0.737300073,-0.477680386,1.651766853,0.915514343,-0.721066842,0.367050944,-0.080364414,-0.714270491,-0.075824017,1.079372574,1.429066397,0.473787927,0.647185906,0.539692902,0.026274592,-1.216409921,0
10/17/2023,950,-0.965540073,-0.985255542,-0.277478062,-1.161387266,-0.375128856,-0.902192975,-1.312553519,0.123433498,0.586235736,-0.545091275,1.891112507,0.163369572,-0.293267,0.516106812,-0.660693228,-0.356926379,2.633154375,0.168271571,-0.739548964,0.355143595,2.984048951,-0.288221206,0.468299358,0.52940286,1.571362394,-0.316369444,0.114965634,-0.788998017,-0.977240179,-1.216409921,0
10/18/2023,991,0.927083412,0.484941031,0.0232122,0.713309935,0.469199828,-0.012003725,0.160672618,-0.024439803,-0.308693923,0.160205668,2.565697512,0.047560194,0.471752396,0.044253146,-0.81150042,-0.598434393,2.189193354,-0.127666161,-0.713861947,0.890974283,0.571567418,-0.63393997,0.19124097,0.576299502,1.838234509,0.177704586,1.22994796,1.294630924,-0.246790652,-1.216409921,0
10/19/2023,1026,0.001972136,-0.266022686,-0.043607858,-0.238294918,0.242941815,-0.460838641,2.787804941,1.48083457,-0.463936824,0.350946351,0.789368138,1.742588366,0.567996771,-0.476590791,-0.675332756,-0.525981988,-0.022822966,0.682463379,-0.730777788,0.033645183,0.833146722,-0.689873814,-0.22923993,0.325828799,0.592473328,-0.515563724,0.872709461,0.056532568,0.879603478,0.595354076,0
10/20/2023,996,-0.714989102,-0.641504545,1.092333133,-0.837057522,1.606008382,-0.34114933,0.763026162,-0.071203155,-0.695659682,-0.190224889,0.273509017,-0.947347646,0.753082109,-0.917503233,-0.676736546,-0.912394811,-0.085133284,-0.32742413,-0.745814091,-0.442648762,-0.62980611,-0.741047332,-0.24391989,-0.452229131,0.785244132,-0.336830488,0.467800872,-0.879590579,2.026477502,-0.201822083,0
10/21/2023,872,-0.784372448,-1.466506938,-0.02272659,-0.512727778,-0.242685141,-1.440794874,1.720986014,0.462151829,-0.237921425,-1.365719794,0.121785746,-0.899971083,-0.211829452,-0.899454186,-0.789440857,-0.984847215,-1.035365647,-0.922998815,-0.758344343,0.033645183,-1.379638968,-0.755328314,-1.298120161,-0.501790355,0.318083689,-0.785769862,-0.755731416,-0.970183142,-1.263958685,-0.256175002,0
10/22/2023,781,-1.748030026,-1.826123366,-1.112728791,-1.38235918,-0.358573391,-0.640372607,-0.028016444,-1.332549775,-0.465078316,-1.498794689,0.399556042,-1.247399217,-1.379100981,-1.085101529,-0.817717206,-1.033148818,-1.346917241,-1.070967681,-0.762416675,-0.871313312,-1.954668432,-0.783295236,-1.717980782,-0.790098122,-0.221030202,-1.12939504,-1.39056682,-0.970183142,-1.161559218,-1.162057001,0
