Date,A_OC_GOOGLE_SHOPPING,C_DIV_BUY_CONNECTEDl21_0p0_0d0_0,C_DIV_BUY_ESSENTIALSl21_0p0_0d0_12,C_DIV_BUY_PREMIUMl21_0p0_0d0_06,C_DIV_BUY_SSl21_0p0_0d0_12,C_DIV_CONN_DATAl21_0p0_0d0_12,C_DIV_CONN_REMOTEl21_0p0_0d0_06,C_DIV_CONN_TRYl21_0p0_0d0_12,C_DIV_GETNOW_CONNl21_0p0_0d0_12,C_DIV_GETNOW_ESSl21_0p0_0d0_12,C_DIV_GETNOW_PREMl21_0p0_0d0_12,C_DIV_GETNOW_SSl21_0p0_0d0_12,C_PP_PKG_APP_ACCESSl21_0p0_0d0_12,C_PP_PKG_CONNECTEDl21_0p0_0d0_12,C_PP_PKG_ESSl21_0p0_0d0_0,C_PP_PKG_PREMl21_0p0_0d0_0,C_PP_PKG_REMOTEl21_0p0_0d0_12,C_PP_PKG_SCl21_0p0_0d0_12,C_PP_PKG_SSl21_0p0_0d0_12,DIV_GMOC_ONSTAR_REVIEWl21_0p0_0d0_0,DIV_GMOC_SHOP_REMOTEl21_0p0_0d0_0,DIV_GMOC_SHOP_SSl21_0p0_0d0_12,DIV_PKG_CONN_SERVICESl21_0p0_0d0_06,DIV_PKG_HDStreamingl21_0p0_0d0_12,DIV_PKG_SS_CRASHl21_0p0_0d0_06,DIV_PLANPAGE_ESSl21_0p0_0d0_0,DIV_PLANPAGE_HOMEl21_0p0_0d0_0,OC_APP_Accessl21_0p0_0d0_06,OC_PAGE_PREFl21_0p0_0d0_0,OC_PAGE_PREFPLl21_0p0_0d0_12,OC_PAGE_PREMl21_0p0_0d0_06,SC_BUYNOWl21_0p0_0d0_06,SC_HOMEPAGEl21_0p0_0d0_0,SC_SHOPNOWl21_0p0_0d0_06,Is_Holiday
10/13/2023,729,-1.158339685,-0.534631732,-1.156142712,-0.438247188,-0.675796126,-0.025389715,-0.690905243,0.283096976,-0.176918452,0.452211199,0.074634257,-0.238072364,-1.26295627,-0.48166517,-1.361458172,-0.324960794,3.054169162,0.20339989,-0.068443837,-0.107563056,-0.41557331,-0.009881327,1.014488158,0.768956312,-0.372756725,-0.524856549,-0.653972625,-0.79440151,-1.400720936,-0.386218529,-0.968529312,0.848310021,-0.369334997,0
10/14/2023,936,-1.062399842,-1.720258072,-0.913680128,-0.733854405,0.810192932,-0.646427799,-0.116361109,0.173071969,-0.181725754,0.662850415,0.324994064,0.571893999,-0.361667364,-0.618490028,-1.361458172,-0.488100187,5.306274603,-0.067093655,-0.681814286,-1.264740667,-0.451503061,-0.274281676,0.301080601,0.879988563,-0.409082758,-0.766367183,-0.52365939,-1.026478274,-1.236622394,-0.633698969,-0.968529312,0.517385122,0.506284145,0
10/15/2023,787,-1.54209906,-2.100319477,-1.826955859,-1.451136623,-1.043298797,-1.434811475,0.505084587,-1.00262382,-0.316330193,0.478079173,0.698257777,-0.187735471,-1.712767739,-0.823727313,-1.366884832,-0.574648316,4.296710095,-0.741657805,-1.050550815,-1.114736162,-0.429232554,-1.05490649,0.03862782,0.970998604,-0.481734823,-1.782724434,-0.64779398,-1.45195234,-1.428699848,-1.155185909,-0.968529312,0.517385122,-1.096264096,0
10/16/2023,1030,-1.110369764,-1.608718312,-0.958708894,-0.659952601,-0.883515027,-0.549739235,-1.476506405,-0.820296665,-0.651238857,0.178749762,0.799539699,-0.283833175,-0.799817054,-0.550077599,-1.399444794,-0.234583102,2.209629621,0.523984833,-0.526462819,0.3067351,-0.217885444,-0.260956857,0.492482628,2.948343434,-0.404344579,-0.751272768,0.833957373,-0.09817122,-0.735222518,-0.067617496,0.63147299,0.627693422,-1.195390792,0
10/17/2023,950,-1.254279529,-1.443474222,-0.961018061,-1.425053633,-0.635850184,-0.865836463,-1.429604844,-0.350332707,1.193162446,0.28406937,0.464967957,-0.169431147,-0.878117569,0.407696402,-1.312618229,-0.097484739,3.432755852,-0.150579317,-0.75949002,-0.064704626,-0.195021057,3.038208544,0.259030155,1.155445621,0.161078014,-0.409132703,0.164978654,-0.111064373,-1.02678055,-0.401836227,-0.872529174,-0.034156377,-1.195390792,0
10/18/2023,991,-0.294881093,-0.295027803,-0.791294253,-0.333915229,-0.012693482,0.041548522,-0.221889623,-0.416347711,-0.063145653,0.577855644,0.793849704,-0.270104932,-0.361667364,-0.208015456,-1.486271359,-0.27747421,2.879436843,-0.417733436,-0.579139466,-0.021846196,-0.111729362,0.440916777,0.912987083,4.347471135,-0.297735571,-0.07202411,0.259905105,0.017867162,-0.844473509,0.18197734,1.431474141,0.517385122,-1.195390792,0
10/19/2023,1026,-0.870520155,-0.88164432,-0.838632186,-0.842533529,-0.140520498,-0.460488253,1.970758399,0.512577705,-0.281076649,0.657307277,-0.07216763,1.203393198,-0.296694596,-0.686902456,-1.318044889,-0.243008141,0.122549147,0.313600964,-0.325577301,-0.353999029,-0.235330674,0.72253459,0.488132582,1.481868302,-0.371967029,-0.278314443,-0.012516959,-0.588111054,-1.100280709,-0.033835215,-0.024527954,1.179234921,0.456720798,0
10/20/2023,996,-1.158339685,-1.174952578,-0.207074885,-1.24681987,0.834160497,-0.308017825,0.458183025,-0.395914496,-0.606370711,0.431886363,-0.323665436,-1.134984269,-0.171746966,-1.097377028,-1.339751531,-0.542479985,0.044890339,-0.598062466,-0.397003263,-0.42185821,-0.325600462,-0.852489008,0.137228865,1.540721462,-0.439880916,-0.514793606,-0.815740778,-0.459179518,-1.034330415,-0.221968404,-0.920529243,1.84108472,-0.270208302,0
10/21/2023,872,-1.158339685,-1.819404525,-0.86172386,-1.068586107,-0.44410966,-1.412498729,1.126530283,-0.125567336,0.036205243,-0.057757427,-0.397635379,-1.093799539,-0.823140612,-1.028964599,-1.459138058,-0.63668724,-1.139406488,-1.13571013,-0.775560861,-0.589720394,-0.260273642,-1.659763461,0.283680416,-0.082897674,-0.458833628,-1.289640223,-0.820796033,-0.691256282,-1.199983342,-0.825820678,-0.968529312,-0.365081277,-0.319771649,0
10/22/2023,781,-1.638038903,-2.100319477,-1.422851554,-1.585898736,-0.611882619,-0.549739235,-0.233615014,-1.217958476,-0.282679083,-0.113188799,-0.262213483,-1.395820895,-1.611143667,-1.234201885,-1.475418039,-0.681876086,-1.52770053,-1.269287189,-0.959482714,-0.782583329,-0.392411982,-2.278843554,0.559183335,-0.090178477,-0.495949357,-1.395301125,-1.127200644,-0.936226199,-1.326776667,-1.10890947,-0.968529312,-0.034156377,-1.145827444,0
