Date,A_OC_GOOGLE_SHOPPING,C_DIV_BUY_CONNECTEDl21_0p0_0d0_12,C_DIV_BUY_ESSENTIALSl21_0p0_0d0_06,C_DIV_BUY_PREMIUMl21_0p0_0d0_0,C_DIV_BUY_SSl21_0p0_0d0_12,C_DIV_CONN_DATAl21_0p0_0d0_12,C_DIV_CONN_REMOTEl21_0p0_0d0_06,C_DIV_CONN_TRYl21_0p0_0d0_12,C_DIV_GETNOW_CONNl21_0p0_0d0_12,C_DIV_GETNOW_ESSl21_0p0_0d0_12,C_DIV_GETNOW_PREMl21_0p0_0d0_12,C_DIV_GETNOW_SSl21_0p0_0d0_12,C_PP_PKG_APP_ACCESSl21_0p0_0d0_12,C_PP_PKG_CONNECTEDl21_0p0_0d0_12,C_PP_PKG_ESSl21_0p0_0d0_0,C_PP_PKG_PREMl21_0p0_0d0_0,C_PP_PKG_REMOTEl21_0p0_0d0_0,C_PP_PKG_SCl21_0p0_0d0_12,C_PP_PKG_SSl21_0p0_0d0_0,DIV_GMOC_SHOP_ESSl21_0p0_0d0_0,DIV_GMOC_SHOP_REMOTEl21_0p0_0d0_0,DIV_GMOC_SHOP_SSl21_0p0_0d0_06,DIV_PKG_CONN_SERVICESl21_0p0_0d0_12,DIV_PKG_HDStreamingl21_0p0_0d0_12,DIV_PKG_SS_CRASHl21_0p0_0d0_06,DIV_PLANPAGE_ESSl21_0p0_0d0_0,DIV_PLANPAGE_HOMEl21_0p0_0d0_0,OC_APP_Accessl21_0p0_0d0_06,OC_PAGE_PREFPLl21_0p0_0d0_12,OC_PAGE_PREMl21_0p0_0d0_12,SC_BUYNOWl21_0p0_0d0_12,SC_HOMEPAGEl21_0p0_0d0_12,SC_SHOPNOWl21_0p0_0d0_06,Is_Holiday,Is_NYE
10/13/2023,729,-1.342878047,-0.416236686,-1.087889724,-0.455193296,-0.702837139,0.013895948,-0.711412851,0.298486869,-0.161436412,0.534837308,-0.076280869,-0.217035874,-1.262555554,-0.41058183,-1.363815437,-0.030976818,3.102326433,0.698303966,-0.516334222,-0.106114043,-0.349747951,-0.343014161,1.055441196,0.83527352,-0.366368555,-0.563544,-0.703025721,-1.425254048,-0.631020261,-0.993334884,0.751124327,-0.342291147,0,0
10/14/2023,936,-1.107029163,-1.767565265,-0.912254516,-0.750685197,0.801242385,-0.601467238,-0.135108757,0.188526661,-0.166269166,0.741036825,0.138692046,0.590735366,-0.355226731,-0.544445492,-1.363815437,-0.465372664,5.358071311,-0.099190904,-0.540112666,-1.280183185,-0.465748199,-0.218258597,0.357156618,0.945314837,-0.402979673,-0.806846122,-0.577196932,-1.261923358,-0.681998317,-0.993334884,0.665300718,0.571142619,0,0
10/15/2023,787,-1.53648534,-2.068803348,-1.848975628,-1.467687604,-1.074813795,-1.382646852,0.488240568,-0.986476712,-0.301586267,0.560160056,0.45919712,-0.166835401,-1.715381399,-0.745240986,-1.369277438,-0.506743697,4.346875332,-0.719464693,-0.580968355,-1.127989037,-0.430761529,-1.005598436,0.100267373,1.035512638,-0.476201908,-1.830742551,-0.6970597,-1.453102042,-1.21050173,-0.993334884,0.628519171,-1.100613519,0,0
10/16/2023,1030,-1.193272412,-1.551182981,-0.912254516,-0.676812222,-0.913084814,-0.505662191,-1.499420489,-0.804256938,-0.638268103,0.26713969,0.546163435,-0.262672667,-0.796312647,-0.477513661,-1.402049443,-0.1344044,2.256422104,0.698303966,-0.504661168,0.314231699,-0.212211463,-0.286098028,0.544501261,2.995210194,-0.39820431,-0.791639739,0.7337004,-0.762869638,-0.190291792,0.6215172,0.730690135,-1.204021115,0,0
10/17/2023,950,-1.277755594,-1.41329231,-0.970799585,-1.441614789,-0.662404894,-0.818870999,-1.452375257,-0.334569761,1.215898373,0.370239448,0.258881449,-0.148580684,-0.875137887,0.459531975,-1.314657428,-0.030976818,3.481524926,-0.187801446,-0.530168953,-0.062630001,-0.201210099,2.929376028,0.315997568,1.218313515,0.171655696,-0.446961734,0.08774313,-1.053063409,-0.447962695,-0.799552634,0.129924867,-1.204021115,0,0
10/18/2023,991,-0.413563041,-0.240160905,-0.795164377,-0.350902037,-0.031661868,0.080222519,-0.24096053,-0.400545886,-0.047061243,0.657833511,0.541277687,-0.248981629,-0.355226731,-0.142854505,-1.489441458,-0.237831983,2.927311745,-0.365022528,-0.494717455,-0.019145959,-0.113860046,0.623122823,0.956091764,4.381851055,-0.290758638,-0.107352522,0.179402893,-0.871609421,0.091848577,1.428943243,0.567216592,-1.204021115,0,0
10/19/2023,1026,-0.835978953,-0.912643103,-0.853709446,-0.859321926,-0.161045052,-0.417226763,1.958404072,0.527832447,-0.266146074,0.735610522,-0.202333169,1.220523113,-0.289818554,-0.611377324,-1.320119429,-0.175775433,0.165968877,0.432472343,-0.518063564,-0.356147287,-0.248558726,0.732643261,0.540243428,1.541822961,-0.365572661,-0.315173084,-0.083644358,-1.126219645,-0.081106064,0.104764533,1.241544954,0.51943882,0,0
10/20/2023,996,-1.163351285,-1.169331891,-0.209713682,-1.263450555,0.825501732,-0.266149574,0.441195336,-0.380124704,-0.593162403,0.514940864,-0.418283233,-1.111517021,-0.164033597,-1.012968311,-1.341967433,-0.506743697,0.088184571,-0.630854152,-0.53881566,-0.42499702,-0.334703682,-0.75350021,0.196778249,1.600150872,-0.434019534,-0.553406412,-0.859226975,-1.060577946,-0.277139863,-0.896443759,1.92813383,-0.238883551,0,0
10/21/2023,872,-1.195032478,-1.818478744,-0.912254516,-1.085286321,-0.468330116,-1.360537995,1.111589894,-0.109936763,0.052815666,0.035617425,-0.481797958,-1.070443907,-0.819792506,-0.946036479,-1.462131454,-0.568800246,-1.098026098,-1.073906858,-0.556109073,-0.595309519,-0.261620416,-1.6207526,0.340125287,-0.008977897,-0.453120986,-1.334000719,-0.864108264,-1.225455748,-0.869504877,-0.993334884,-0.041722352,-0.290587349,0,0
10/22/2023,781,-1.635049053,-2.068803348,-1.439160141,-1.602397147,-0.638145547,-0.505662191,-0.252721838,-1.201684549,-0.267756992,-0.018645605,-0.365517154,-1.371646742,-1.613076301,-1.146831973,-1.478517456,-0.610171279,-1.486947628,-1.162517399,-0.561729433,-0.790987709,-0.404677022,-2.256028629,0.60978803,-0.016193721,-0.490527998,-1.440445397,-1.159968626,-1.35165578,-1.176856213,-0.993334884,0.019580226,-1.152317317,0,0
10/23/2023,865,-1.115829494,-1.657252728,-1.146434794,-0.146664988,-0.233823094,-0.081909099,-1.899304962,-1.102720361,-0.316084528,0.071792779,-0.35085991,0.983211788,-0.440760502,-1.079900142,-1.412973445,-0.030976818,2.130022607,-0.099190904,-0.48131506,-0.073501012,-0.335792157,-1.251660101,2.662063437,0.560470886,-0.416509869,-0.375998615,0.327197483,-1.325575914,-0.864870508,-0.993334884,1.078071411,-0.342291147,0,0
10/24/2023,1095,-1.531205141,-1.101447253,-1.204979863,-0.615975654,-0.387465626,-0.612521667,-0.605561079,1.124759294,3.026570066,0.851371654,-0.35085991,-0.554748144,-0.415603511,0.258736482,-1.38566344,-0.258517499,0.379875719,-0.010580363,0.539861008,-0.667782923,-0.358339122,2.879646276,1.201626789,0.233954847,0.250449188,-0.472305705,-0.558756506,-1.221477463,-0.724356447,-0.993334884,1.098505604,1.432872586,0,0
10/25/2023,1025,-0.665252522,-0.008928856,-0.678074238,-0.58555737,-0.613886199,-0.645684952,-0.723174159,-0.810540378,0.286398758,0.400988499,-0.302002429,-0.089252853,-0.6403393,-1.079900142,-1.38566344,-0.403316114,1.575809426,-1.339738481,0.364549028,-0.533707126,-0.420226654,0.032689808,1.281106334,0.603164512,-0.289962744,-0.472305705,-0.60377284,-1.198491818,-0.976558795,0.6215172,1.597099908,1.536280183,0,0
10/26/2023,1986,-0.99438492,-1.112054228,-1.087889724,-0.898431148,-0.233823094,-0.829925427,-1.346523485,-0.878087364,-0.211374866,0.426311247,-0.369425753,-0.805750506,-0.581639654,-0.209786337,-1.303733426,0.320676962,0.778520288,0.078030178,1.775043068,0.611372654,-0.056481908,0.265815989,0.960349597,2.43057196,-0.168190984,0.085261658,0.522449051,-0.407034169,0.138748389,-0.799552634,1.249718631,0.674550215,0,0
10/27/2023,1342,-0.959183594,-0.545641777,-0.44389396,-0.828903642,-0.589626852,0.264462994,0.347104872,-0.736709952,0.056037501,0.57282143,-0.329362619,-0.787495789,-0.152293667,0.057940988,-1.298271426,0.134507313,1.391071699,0.609693425,0.271164595,0.212768933,-0.27157218,0.011130666,1.130662909,1.426369776,-0.147497743,-0.335448261,1.200134701,-0.710046857,-0.117532203,-0.185908842,0.587650785,-1.100613519,0,0
10/28/2023,1099,-1.124629826,-1.356014646,-1.029344655,-1.250414148,-1.446790452,-0.59041281,-0.323289686,-1.154558745,0.170412671,0.40822357,-0.372357202,0.253023096,-1.359829254,0.191804651,-1.358353436,-0.444687147,1.235503086,-0.453633069,-0.142580323,0.183779572,-0.367435656,-1.616728227,0.978800206,-0.083541413,-0.43322364,-1.293450365,0.057099481,-1.349003591,-0.656045852,-0.896443759,0.309745764,0.51943882,0,0
10/29/2023,933,-0.969743992,-1.300858378,-1.263524933,-1.302559777,-1.139505388,0.091276948,-0.135108757,-1.284940136,-0.464288973,0.386518358,-0.378220099,-0.080125494,-1.175344651,-1.347627467,-1.320119429,0.672330741,0.720182058,-1.516959564,-0.220616851,-0.062630001,-0.426757499,-1.836056557,0.567209702,0.25079177,-0.458692243,-1.045079449,-0.257743673,-1.585711533,-0.860977638,-0.185908842,0.183053769,-0.238883551,0,0
10/30/2023,1123,-0.860619881,-0.552005962,-0.326803821,-0.542102679,-0.484503015,-0.048745813,-0.393857534,-1.137279284,-0.783250712,0.793491088,-0.42707758,-1.38990146,-0.380383723,1.195782118,-1.423897447,1.396323817,0.904919785,0.786914508,-0.181706671,1.245514937,-0.282301426,-1.041817793,0.094590262,0.426376822,-0.378306963,-0.335448261,1.110644399,-1.373536347,-0.60738498,-0.896443759,-0.033548675,-1.152317317,0,0
10/31/2023,1525,-0.894061141,-0.613526416,-0.736619307,-0.668121284,-0.816047426,1.045642608,0.158923943,-1.118428963,0.114030545,0.751889431,-0.701656621,-1.198226928,-0.164033597,-0.008990843,-1.38020144,2.099631377,0.9340889,-0.365022528,-0.219319845,2.426831419,-0.189858869,-0.543657902,1.285364167,1.307308678,-0.253351627,-0.031320609,2.197002429,-1.041791602,-0.025679014,-0.993334884,0.861468968,-1.204021115,0,0
11/1/2023,1404,-0.635331395,-0.301681359,-1.029344655,-0.042373729,-0.460243667,1.480450129,-0.064540909,0.373888155,0.104365038,0.921913594,-0.465186415,0.668317915,0.899268573,2.266691417,-1.128949397,2.409914123,0.447936987,0.875525049,-0.211105474,2.727596045,-0.280085603,0.517914214,0.263484296,0.397513526,-0.320206711,0.313357397,2.243645859,-1.038476364,0.144495006,1.428943243,0.563129754,-0.342291147,0,0
11/2/2023,2576,-0.647651859,1.308457404,-0.209713682,0.579028357,-0.411724973,0.949837561,-0.393857534,0.199522681,0.210685618,0.762742037,-0.286368036,2.370570302,0.689626978,1.86510043,-1.183569406,1.913461729,0.389598757,0.432472343,3.777404184,2.314497643,-0.128360077,1.221604585,0.761650733,0.700578137,0.322875529,1.124364469,2.107240944,-0.58937222,0.866066221,-0.702661509,0.820600583,0.571142619,1,0
11/3/2023,2262,-0.564928743,0.767501693,-1.322070002,-0.007609976,-1.018208652,-0.557249524,0.452956644,-0.157062567,-0.137272644,0.469721671,-0.586352967,-0.988297679,-0.482688821,0.057940988,-1.336505432,0.382733511,2.577282367,-0.453633069,2.562758053,1.154923182,-0.175281089,0.601563682,1.476966643,0.451632206,0.727985505,0.424870869,1.285557262,-1.13174504,0.448324222,0.6215172,0.346527311,0.622846417,0,0
11/4/2023,1186,-0.774376632,-0.543520382,-0.970799585,-1.172195703,-1.697470372,-0.645684952,-1.205387788,-0.351849222,-0.301586267,0.97979416,-0.282459437,-0.271800026,0.01038821,-0.276718168,-1.456669453,-0.093033368,1.624424617,-0.365022528,0.064724472,-0.62067521,-0.415795009,-0.983176929,0.808486894,0.194869133,0.489217347,-0.801777328,0.165572574,-1.324912866,-0.638527938,0.007873408,0.591737624,2.346306353,0,0
11/5/2023,855,-1.152790887,-1.362378831,-0.970799585,-1.628469962,-0.35511983,-0.461444477,0.347104872,-1.195401109,-0.235538634,0.864033028,-0.461277816,-0.248981629,-0.417280643,-0.678309155,-1.456669453,-0.093033368,2.207806913,-0.276411987,-0.165710263,-0.700395955,-0.52915182,-1.249647915,1.464193144,-0.090155918,0.468524106,-1.00959789,-0.96986953,-1.709701408,-1.062943429,0.718408325,1.343715917,1.587983981,0,0
11/6/2023,1049,-0.931022533,-1.300858378,-1.146434794,-1.124395543,-0.791788078,-1.003111474,-1.205387788,-1.058736278,-0.346691968,0.028382355,-0.536518337,0.535971214,-0.771155656,-0.477513661,-1.352891435,0.051765248,0.836858517,1.67301992,-0.187975533,-0.42862069,-0.531212146,-0.915050042,0.737523014,-0.016193721,0.633274136,-0.614231942,0.118386778,-1.571787537,-1.126897717,-0.799552634,0.918684708,-0.187179753,0,0
11/7/2023,1029,-0.239316477,-0.339866468,-0.736619307,-0.081482951,0.348401238,-0.299312859,-0.24096053,-0.205759231,-0.159825494,0.654215976,-0.640096196,-0.737295317,-0.638662168,-0.946036479,-1.391125441,0.072450764,-0.310459998,-0.453633069,-0.191434216,-0.635169891,-0.301621842,-0.083154645,1.278267779,0.650668687,0.634865923,-0.122558905,-0.639568961,-1.185230868,-0.90083321,-0.993334884,0.244356347,-1.152317317,0,0
11/8/2023,3235,-0.644131726,-0.282588804,-0.560984099,-0.290065469,-0.719010037,0.481866755,-0.099824833,-0.774410595,0.186521849,0.062748941,-0.383105847,0.011148092,-0.199253385,1.396577612,-1.281885423,0.672330741,0.545167369,0.166640719,4.38613234,-0.185834788,-0.081827806,0.902816749,0.85816161,0.239366715,0.751066427,0.566797107,0.829427905,-0.826522194,-0.136440427,-0.993334884,-0.033548675,-0.342291147,1,0
11/9/2023,1912,-0.702213914,-1.343286276,-0.736619307,-1.306905246,-1.066727346,-0.763598856,-0.393857534,-0.658166946,-0.137272644,0.704861471,-0.521861092,0.234768379,-0.694007549,-0.075922674,-1.287347424,0.548217643,-0.796611911,-0.187801446,1.542446656,-0.685901274,-0.341584394,0.722294873,1.08240747,1.174417252,0.552888856,-0.087077345,-0.32689527,-1.103676031,-0.381691222,2.236369285,0.963639932,-0.290587349,0,0
11/10/2023,3478,-0.130192367,0.926606314,-0.678074238,-0.881049271,-0.484503015,0.264462994,-0.135108757,0.268640527,1.389877504,0.701243936,-0.884383599,0.933011315,-0.298204217,1.731236768,-1.238189415,0.50684661,-0.485474687,0.698303966,5.10942936,-0.185834788,-0.000269991,1.2555243,1.187434013,1.382473513,4.400239786,1.377804179,0.303333403,-0.588930188,-0.208551205,1.009081701,1.290587016,0.571142619,0,0
11/11/2023,2038,-1.117589561,-0.630497575,-1.263524933,-1.141777419,0.194758706,0.330789565,0.488240568,-1.036744236,0.128528806,0.10254183,-0.827708921,0.90106556,-0.829855302,-0.477513661,-1.473055455,0.258620412,-0.427136457,-1.428349022,1.554768213,-0.910568825,-0.219830783,-0.465757538,1.231431618,0.730042752,1.363904701,-0.284760319,-1.200103671,-1.290655414,-0.435542587,0.81529945,0.497740337,0.622846417,0,0
11/12/2023,1209,-1.464322622,-0.944464027,-1.263524933,-1.398160098,-1.147591837,-0.22193186,-0.617322387,-1.913284185,-0.246815059,0.438972621,-0.938126828,-0.938097207,-1.613076301,-1.414559298,-1.434821449,-0.320574049,-0.184060501,-1.162517399,0.279378967,-1.320043557,-0.467536406,-1.147601313,0.774424232,-0.301820091,0.806778998,-1.308656748,-0.926751475,-1.454649152,-1.151737934,-0.799552634,0.195314284,-1.100613519,0,0
11/13/2023,1725,-0.434683837,0.421714317,-0.619529168,-0.33786563,-1.519568493,-0.623576095,0.711705421,-1.094866061,-0.270978828,0.533028541,-0.732925409,-0.472601916,-0.734258735,-0.678309155,-1.363815437,0.093136281,-0.641043299,-0.453633069,0.773105923,-0.120608724,-0.06946585,0.463585178,1.215819565,0.570693304,1.270785119,0.115674423,-0.877667401,-0.783645125,-0.304853388,-0.185908842,0.170793253,-0.342291147,0,0
11/14/2023,2157,-0.439964036,-0.874457994,-0.502439029,-0.750685197,0.275623196,-0.461444477,-1.170103864,0.191668381,0.655298952,0.402797267,-0.877543552,0.750464143,0.681241314,2.065895924,-1.243651416,0.299991445,0.515998255,0.078030178,3.207586209,-0.203953139,-0.219675286,2.158421136,0.672236245,0.837077476,5.126094988,0.632691432,-0.387911384,-0.50317605,-0.394945516,-0.089017717,0.579477108,1.432872586,0,0
11/15/2023,1991,-0.411802975,0.209574823,-1.204979863,-0.381320321,1.504763452,-0.634630524,0.053072171,0.568674811,1.49136533,1.381340588,-0.873634953,0.202822624,-0.588348185,0.994986625,-1.281885423,0.237934896,0.175691915,-0.896685775,3.165865849,-0.548201807,-0.39149871,1.353259074,0.741780847,1.060166704,4.443218054,0.379251721,-0.955225662,-1.197607754,-0.708784968,3.140686452,0.935032062,-0.187179753,0,0
11/16/2023,1749,-0.186514488,0.067441362,-0.912254516,-0.220537963,1.423898962,-0.461444477,0.523524492,0.989665324,1.095079532,0.59633541,-0.650844841,0.919320277,-1.220627235,-0.209786337,-1.314657428,-0.093033368,-0.368798228,-0.630854152,1.271588567,-0.573567498,-0.234019821,1.127319274,1.397487097,0.952530661,3.33772148,0.318426191,-0.706279913,-0.460519997,-0.585974196,-0.508879259,0.46095879,0.571142619,0,0
11/17/2023,1723,-0.600130069,-0.157426502,-0.736619307,-0.967958654,-0.419811422,0.470812326,-0.029256985,0.918976618,0.594084072,0.623466925,-0.746605504,-1.038498152,-0.856689426,-0.745240986,-1.26549942,-0.299888532,-0.670212414,-1.339738481,0.934150836,-0.678653933,-0.34449995,0.309509182,0.658043469,0.5544577,2.715332479,0.00416095,-0.133270798,-0.842435333,-0.390959959,0.6215172,1.625707777,1.484576385,0,0
11/18/2023,1405,-1.224953605,-1.549061586,-1.497705211,-1.276486962,0.574821811,-0.579358381,-1.864021038,-0.19476321,0.460377889,0.187553912,-0.712405267,-0.71447692,-1.057945358,0.057940988,-1.44028345,-0.19646095,0.272922298,-0.985296316,0.552182565,-1.149731058,-0.355617936,-0.462595531,1.553607633,0.651270006,2.428014795,-0.761226974,-1.306678485,-1.043780744,-0.747528291,-0.799552634,0.751124327,-1.048909721,0,0
11/19/2023,1193,-1.64560945,-1.843935483,-1.322070002,-1.519833234,-0.088267011,-0.461444477,-0.605561079,-0.95505951,0.2090747,0.404606035,-0.950829773,-1.330573629,-1.213918704,-0.946036479,-1.32558143,-0.1344044,-1.068856983,-0.808075234,0.37924843,-1.080881324,-0.48024823,-1.118568336,1.566381131,0.868947366,1.96957993,-1.146455333,-1.514675641,-1.387018312,-1.348976668,-0.993334884,0.015493388,-0.342291147,0,0
