Date,A_OC_GOOGLE_SHOPPING,C_DIV_BUY_CONNECTED,C_DIV_BUY_ESSENTIALS,C_DIV_BUY_PREMIUM,C_DIV_BUY_SS,C_DIV_CONN_DATA,C_DIV_CONN_REMOTE,C_DIV_CONN_TRY,C_DIV_GETNOW_CONN,C_DIV_GETNOW_ESS,C_DIV_GETNOW_PREM,C_DIV_GETNOW_SS,C_PP_PKG_APP_ACCESS,C_PP_PKG_CONNECTED,C_PP_PKG_ESS,C_PP_PKG_PREM,C_PP_PKG_REMOTE,C_PP_PKG_SC,C_PP_PKG_SS,DIV_GMOC_SHOP_ESS,DIV_GMOC_SHOP_REMOTE,DIV_GMOC_SHOP_SS,DIV_PKG_CONN_SERVICES,DIV_PKG_HDStreaming,DIV_PKG_SS_CRASH,DIV_PKG_SS_ROADSIDE,DIV_PLANPAGE_CONN,DIV_PLANPAGE_ESS,DIV_PLANPAGE_HOME,DIV_WYG_PP,OC_APP_Access,OC_PAGE_ESS,OC_PAGE_PREF,OC_PAGE_PREFPL,OC_PAGE_PREM,SC_BUYNOW,SC_HOMEPAGE,SC_SHOPNOW
2023-10-13,729,28,21,20,19,12,11,8,110,24,38,65,34,72,45,92,104,19,48,685,1167,672,878,61,61,123,871,460,767,3013,388,680,156,288,1350,0,18,1
2023-10-14,936,30,7,23,14,18,7,9,94,21,38,66,37,85,43,92,83,26,39,575,843,572,790,34,61,95,790,414,719,2681,374,575,138,283,1166,0,15,2
2023-10-15,787,20,5,7,8,8,3,11,66,18,34,79,30,51,40,91,81,21,32,386,885,596,691,30,64,122,690,322,517,2442,366,385,105,249,960,0,15,0
2023-10-16,1030,29,10,23,16,10,8,4,74,10,28,81,30,77,44,85,99,13,48,739,1283,707,803,43,129,169,804,420,722,2907,472,728,210,378,1425,2,16,0
2023-10-17,950,26,11,22,8,11,6,5,85,57,31,69,31,72,58,101,104,19,38,621,1179,706,1237,35,66,114,1237,1136,790,3167,418,612,209,310,1258,0,10,0
2023-10-18,991,46,22,25,19,14,11,9,82,20,37,82,30,85,49,69,94,16,36,785,1191,751,864,54,175,194,864,555,857,2975,428,780,219,351,1511,3,15,0
2023-10-19,1026,34,15,24,13,13,8,16,106,19,38,50,43,85,42,100,97,5,45,677,1098,679,924,40,74,125,920,461,816,2754,408,659,172,300,1406,1,21,2
2023-10-20,996,28,13,35,10,18,9,10,80,11,33,45,21,88,36,96,81,6,33,581,1079,639,710,32,82,112,709,375,769,2772,352,575,182,318,1334,0,27,1
2023-10-21,872,28,7,23,12,11,3,13,90,28,23,43,24,72,37,74,78,1,28,501,1032,679,615,37,28,85,615,351,615,2158,355,488,164,286,1087,0,7,1
2023-10-22,781,18,5,14,7,11,8,8,61,18,23,48,21,55,34,71,76,0,27,475,978,603,538,44,31,59,537,304,594,1988,333,471,145,267,984,0,10,0
